,Unnamed: 0,nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed
111193,111194,NCT02777411,,2016-05-16,,,2016-11-28,2016-05-18,2016-05-19,Estimate,,,,,,,2016-11-28,2016-11-30,Estimate,December 2014,,2014-12-31,August 2016,2016-08-31,January 2016,Actual,2016-01-31,January 2016,Actual,2016-01-31,,Interventional,,,A Study to Evaluate the Safety and Immunogenicity of EV71 Vaccine in Pediatric Subjects Aged 3 to 6 Years and 6 to 35 Months Old,"An Open-label, Dose-finding, Phase II Study to Evaluate the Safety and Immunogenicity of EV71 Vaccine in Pediatric Subjects Aged 3 to 6 Years and 6 to 35 Months Old",Completed,,Phase 2,122.0,Actual,Enimmune Corporation,,7.0,,,False,,,,True,,,,,,,,,,,No,,2023-06-16 08:19:43,2023-06-16 08:19:43,INDUSTRY,,,,,
111283,111284,NCT04072900,,2019-07-26,,,2020-04-24,2019-08-26,2019-08-28,Actual,,,,,,,2020-04-24,2020-04-28,Actual,"April 21, 2020",Anticipated,2020-04-21,April 2020,2020-04-30,"September 1, 2022",Anticipated,2022-09-01,"September 1, 2021",Anticipated,2021-09-01,,Interventional,,,A Personalized NeoAntigen Cancer Vaccine Combined With Anti-PD-1 in Melanoma,A Phase I Study With a Personalized NeoAntigen Cancer Vaccine Combined With Anti-PD-1 in Metastatic Melanoma,Unknown status,Recruiting,Phase 1,30.0,Anticipated,Xiangya Hospital of Central South University,,1.0,,,False,,,,,False,False,,,,,,,,,Undecided,,2023-06-16 08:20:07,2023-06-16 08:20:07,OTHER,,,,,
111357,111358,NCT04934111,,2021-06-10,,,2022-04-14,2021-06-19,2021-06-22,Actual,,,,,,,2022-04-14,2022-04-22,Actual,"December 2, 2021",Actual,2021-12-02,April 2022,2022-04-30,"December 31, 2022",Anticipated,2022-12-31,"November 1, 2022",Anticipated,2022-11-01,,Interventional,COVAC-Uganda,,"Safety and Immunogenicity of LNP-nCOV saRNA-02 Vaccine Against SARS-CoV-2, the Causative Agent of COVID-19","A Clinical Trial to Assess the Safety and Immunogenicity of LNP-nCOV saRNA-02, a Self-amplifying Ribonucleic Acid (saRNA) Vaccine, in SARS-CoV-2 Seronegative and Seropositive Uganda Population",Recruiting,,Phase 1,42.0,Anticipated,MRC/UVRI and LSHTM Uganda Research Unit,,1.0,,,False,,,,False,False,False,,,,,,Data will be available for sharing after study completion. Data may be assumed to be indefinitely available after that point until otherwise stated.,Criteria may be accessed through link below,https://www.imperial.ac.uk/research-and-innovation/research-office/research-governance-and-integrity/what-is-research-governance/data-protection---information-for-participants/,Yes,"Data will be shared according to the Imperial College London data sharing policies, adherent to General Data Protection Regulations (https://www.imperial.ac.uk/research-and-innovation/research-office/research-governance-and-integrity/what-is-research-governance-and-integrity/data-protection---information-for-participants/) and the MRC/UVRI & LSHTM Uganda Research Unit Data Sharing Policy (https://www.mrcuganda.org/publications/data-sharing-policy) and controlled access approach.",2023-06-16 08:20:35,2023-06-16 08:20:35,OTHER,,,,,
111520,111521,NCT03527173,,2018-05-04,2020-04-30,,2020-07-16,2018-05-04,2018-05-17,Actual,2020-04-30,2020-05-15,Actual,,,,2020-07-16,2020-07-28,Actual,"August 29, 2018",Actual,2018-08-29,July 2020,2020-07-31,"November 11, 2019",Actual,2019-11-11,"May 8, 2019",Actual,2019-05-08,,Interventional,,,"A Study to Evaluate the Efficacy, Safety and Immunogenicity of a Vaccine Designed to Protect Against Infection With Shigella Sonnei in Healthy Adults","Efficacy, Safety and Immunogenicity of GVGH Shigella Sonnei Vaccine (1790GAHB) in a Human Challenge Study of Healthy Non-immune Adults",Completed,,Phase 2,71.0,Actual,GlaxoSmithKline,,2.0,,,False,,,,True,True,False,,,,,,IPD will be made available within 6 months of publishing the results of the primary endpoints of the study.,"Access is provided after a research proposal is submitted and has received approval from the Independent Review Panel and after a Data Sharing Agreement is in place. Access is provided for an initial period of 12 months but an extension can be granted, when justified, for up to another 12 months.",http://clinicalstudydatarequest.com,Yes,IPD for this study will be made available via the Clinical Study Data Request site.,2023-06-17 10:52:55,2023-06-17 10:52:55,INDUSTRY,,,,,
111806,111807,NCT01304771,,2010-12-03,,,2012-06-19,2011-02-24,2011-02-25,Estimate,,,,,,,2012-06-19,2012-06-20,Estimate,December 2010,,2010-12-31,June 2012,2012-06-30,April 2011,Actual,2011-04-30,April 2011,Actual,2011-04-30,,Interventional,,,Safety of Synbiotics as Adjuvant to Influenza Vaccine in Elderly,A Phase I Trial of the Safety and Efficacy of Adjuvant AKSB (Agri-King Synbiotic) Synbiotic in Patients 65 Years of Age and Older Receiving the Influenza Vaccine,Completed,,Phase 1,22.0,Actual,Mayo Clinic,,2.0,,,False,,,,True,,,,,,,,,,,,,2023-06-17 10:56:00,2023-06-17 10:56:00,OTHER,,,,,
111938,111939,NCT03625934,,2018-07-02,,,2021-04-02,2018-08-07,2018-08-10,Actual,,,,,,,2021-04-02,2021-04-06,Actual,"August 6, 2018",Actual,2018-08-06,April 2021,2021-04-30,"December 31, 2023",Anticipated,2023-12-31,"September 30, 2023",Anticipated,2023-09-30,,Interventional,,,Study to Evaluate Induction of HBV Virus Neutralizing Antibodies Using VVX001,Study to Evaluate the Induction of HBV Virus Neutralizing Antibodies in Healthy Vaccine Naive Adults and Non-responders and in Patients Chronically Infected With HBV Using VVX001,Recruiting,,Phase 2,84.0,Anticipated,Viravaxx AG,,2.0,,,False,,,,True,False,False,,,False,,,,,,Undecided,,2023-06-17 10:57:19,2023-06-17 10:57:19,INDUSTRY,,,,,
111987,111988,NCT02767193,,2016-04-22,,,2019-07-25,2016-05-06,2016-05-10,Estimate,,,,,,,2019-07-25,2019-07-26,Actual,May 2016,,2016-05-31,July 2019,2019-07-31,"May 22, 2019",Actual,2019-05-22,"May 22, 2019",Actual,2019-05-22,,Interventional,,,Safety and Immunogenicity of a Vaccine Dendritic Cell-based Pulsed With Autologous Heat-inactivated in HIV-1 Infected Patients,"Safety and Immunogenicity of a Vaccine Dendritic Cell-based Pulsed With Autologous Heat-inactivated HIV in HIV-1 Infected Patients. Prospective, Randomized, Partially Blinded Study",Completed,,Phase 1,36.0,Actual,Fundacion Clinic per a la Recerca Biomédica,,4.0,,,False,,,,False,,,,,,,,,,,,,2023-06-16 08:21:40,2023-06-16 08:21:40,OTHER,,,,,
112255,112256,NCT03789539,,2018-12-24,,,2018-12-25,2018-12-25,2018-12-28,Actual,,,,,,,2018-12-25,2018-12-28,Actual,"June 2, 2018",Actual,2018-06-02,December 2018,2018-12-31,"December 31, 2018",Anticipated,2018-12-31,"December 2, 2018",Actual,2018-12-02,,Interventional,,,"Reactogenicity, Safety and Immunogenicity of an Universal Influenza Vaccine Uniflu","Reactogenicity, Safety and Immunogenicity of an Recombinant Universal Influenza Vaccine Uniflu in Healthy Volunteers From 18 to 60 Years Old",Unknown status,"Active, not recruiting",Phase 1,54.0,Actual,VA Pharma Limited Liability Company,,3.0,,,False,,,,True,False,False,,,,,,,,,Undecided,,2023-06-17 11:00:48,2023-06-17 11:00:48,INDUSTRY,,,,,
112610,112611,NCT01313429,,2011-03-10,,,2020-03-02,2011-03-10,2011-03-11,Estimate,,,,,,,2020-03-02,2020-03-03,Actual,"March 4, 2011",Actual,2011-03-04,March 2020,2020-03-31,"February 26, 2020",Actual,2020-02-26,"February 26, 2020",Actual,2020-02-26,,Interventional,,,"Tumor Cell Vaccine for Patients Undergoing Surgery for Sarcomas, Melanomas, Germ Cell Tumors, or Malignancies That Have Metastasized to the Lungs, Pleura, or Mediastinum","Adjuvant Allogeneic Tumor Cell Vaccine With Metronomic Oral Cyclophosphamide and Celecoxib in Patients Undergoing Resection of Sarcomas, Melanomas, Germ Cell Tumors, or Epithelial Malignancies Metastatic to Lungs, Pleura, or Mediastinum",Terminated,,Phase 1,19.0,Actual,National Institutes of Health Clinical Center (CC),,1.0,,"Per stopping rule if 12 patients underwent immune response analysis after 6 vaccinations and none developed a response, the protocol would stop accrual.",False,,,,,True,False,,,,,,,,,,,2023-06-17 11:04:31,2023-06-17 11:04:31,NIH,,,,,
112802,112803,NCT02482636,,2015-06-16,,,2021-09-17,2015-06-23,2015-06-26,Estimate,,,,,,,2021-09-17,2021-09-20,Actual,August 2015,,2015-08-31,September 2021,2021-09-30,June 2021,Actual,2021-06-30,"November 1, 2017",Actual,2017-11-01,,Interventional,,,Baby Vaccine Study (Sched3),Assessment of Post Booster Antibody Responses in UK Infants Given a Reduced Priming Schedule of Meningococcal Serogroup B and 13 Valent Pneumococcal Conjugate Vaccines,Completed,,Phase 2,189.0,Actual,University of Oxford,,2.0,,,False,,,,False,,,,,,,,,,,,,2023-06-17 11:07:05,2023-06-17 11:07:05,OTHER,,,,,
112948,112949,NCT03483961,,2018-03-16,2021-09-14,,2021-10-12,2018-03-23,2018-03-30,Actual,2021-10-12,2021-11-09,Actual,,,,2021-10-12,2021-11-09,Actual,"April 18, 2018",Actual,2018-04-18,October 2021,2021-10-31,"September 21, 2020",Actual,2020-09-21,"September 14, 2020",Actual,2020-09-14,,Interventional,,Randomized participants.,"Trial of a Chikungunya Vaccine, PXVX0317 CHIKV-VLP, in Healthy Adults","A Phase 2 Parallel-Group, Randomized, Double-Blind Study to Assess the Safety and Immunogenicity of PXVX0317 (Chikungunya Virus Virus-Like Particle Vaccine [CHIKV-VLP], Unadjuvanted or Alum-adjuvanted)",Completed,,Phase 2,445.0,Actual,Emergent BioSolutions,,10.0,,,False,,,,,True,False,,,,,,,,,No,,2023-06-17 11:08:48,2023-06-17 11:08:48,INDUSTRY,,,,,
112974,112975,NCT02481232,,2015-06-23,,,2015-06-23,2015-06-23,2015-06-25,Estimate,,,,,,,2015-06-23,2015-06-25,Estimate,June 2015,,2015-06-30,June 2015,2015-06-30,June 2016,Anticipated,2016-06-30,April 2016,Anticipated,2016-04-30,,Interventional,,,"A Single-center, Open Trials to Evaluate the Safety of Freeze-dried Group ACYW135 Meningococcal Conjugate Vaccine","A Single-center, Open Trials to Evaluate the Safety of Freeze-dried Group ACYW135 Meningococcal Conjugate Vaccine",Unknown status,Recruiting,Phase 1,200.0,Anticipated,"Lanzhou Institute of Biological Products Co., Ltd",,2.0,,,False,,,,True,,,,,,,,,,,,,2023-06-17 11:09:06,2023-06-17 11:09:06,INDUSTRY,,,,,
113098,113099,NCT02431767,,2015-04-28,,,2021-10-13,2015-04-28,2015-05-01,Estimate,,,,,,,2021-10-13,2021-10-15,Actual,August 2015,,2015-08-31,October 2021,2021-10-31,"December 20, 2017",Actual,2017-12-20,"June 8, 2017",Actual,2017-06-08,,Interventional,,,"Evaluating the Safety and Immunogenicity of PENNVAX®-GP DNA Vaccine and IL-12 Plasmid, Delivered Via Intradermal or Intramuscular Electroporation in Healthy, HIV-Uninfected Adults","A Phase 1 Clinical Trial to Evaluate the Safety and Immunogenicity of PENNVAX®-GP (Gag, Pol, Env) DNA Vaccine and IL-12 Plasmid, Delivered Via Intradermal or Intramuscular Electroporation in Healthy, HIV-Uninfected Adult Participants",Completed,,Phase 1,94.0,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,8.0,,,False,,,,True,,,,,,,,,,,,,2023-06-18 06:57:31,2023-06-18 06:57:31,NIH,,,,,
113509,113510,NCT05518487,,2022-08-18,,,2023-02-23,2022-08-24,2022-08-26,Actual,,,,,,,2023-02-23,2023-02-24,Actual,"February 20, 2023",Actual,2023-02-20,February 2023,2023-02-28,"July 15, 2024",Anticipated,2024-07-15,"July 15, 2023",Anticipated,2023-07-15,,Interventional,CPAT-SG,,COVID Protection After Transplant - Sanofi GSK (CPAT-SG) Study,Safety and Immunogenicity of a Dose of the Sanofi-GSK Monovalent (B.1.351) CoV2 preS dTM-AS03 COVID-19 Vaccine in Kidney Transplant Recipients With a Persistently Low SARS CoV-2 Antibody Titer (COVID19-TB-04),Recruiting,,Phase 2,80.0,Anticipated,National Institute of Allergy and Infectious Diseases (NIAID),,1.0,,,False,,,,True,True,False,,,,,,"On average, within 24 months after database lock for the trial.",Open access.,https://www.immport.org/home,Yes,"The plan is to share data upon completion of the study in: Immunology Database and Analysis Portal (ImmPort), a long-term archive of clinical and mechanistic data from DAIT-funded grants and contracts.",2023-06-14 01:41:47,2023-06-14 01:41:47,NIH,,,,,
113908,113909,NCT03303976,,2017-09-25,,,2018-12-03,2017-10-02,2017-10-06,Actual,,,,,,,2018-12-03,2018-12-04,Actual,"September 7, 2017",Actual,2017-09-07,December 2018,2018-12-31,"September 12, 2018",Actual,2018-09-12,"September 12, 2018",Actual,2018-09-12,,Interventional,,,Phase I to Test a New Pneumococcal Vaccine,Safety and Immunogenicity of a Candidate Bioconjugate Vaccine Against Streptococcus Pneumoniae When Administered to Adult and Elderly Healthy Subjects. A Phase I Randomized Study.,Completed,,Phase 1,72.0,Actual,LimmaTech Biologics AG,,4.0,,,False,,,,False,False,False,,,,,,,,,Undecided,,2023-06-17 11:18:54,2023-06-17 11:18:54,INDUSTRY,,,,,
113960,113961,NCT00913913,,2009-06-02,2014-02-19,,2015-10-28,2009-06-03,2009-06-04,Estimate,2015-10-28,2015-12-01,Estimate,,,,2015-10-28,2015-12-01,Estimate,February 2009,,2009-02-28,February 2014,2014-02-28,January 2013,Actual,2013-01-31,January 2013,Actual,2013-01-31,,Interventional,,Number was the actual number of patients who signed consent and received treatment on study.,"Bevacizumab, Autologous Tumor/DC Vaccine, IL-2 and IFNa-2b in Metastatic Renal Cell Carcinoma (RCC) Patients","A Phase II Study of VEGF Blockade With Bevacizumab Combined With Autologous Tumor/Dendritic Cell Vaccine (DC Vaccine), Interleukin-2 (IL-2) and Interferon-a-2b (IFNa-2b) in Patients With Metastatic Renal Cell Carcinoma (RCC)",Terminated,,Phase 2,8.0,Actual,Dartmouth-Hitchcock Medical Center,,1.0,,low accrual not allowing site to meeting statistical endpoints,False,,,,True,,,,,,,,,,,,,2023-06-14 02:17:36,2023-06-14 02:17:36,OTHER,,,,,
113966,113967,NCT02762045,,2016-05-02,,,2016-05-02,2016-05-02,2016-05-04,Estimate,,,,,,,2016-05-02,2016-05-04,Estimate,April 2016,,2016-04-30,May 2016,2016-05-31,December 2017,Anticipated,2017-12-31,December 2016,Anticipated,2016-12-31,,Interventional,,,Clinical Trial of Recombinant Adenovirus Type 5 AIDS Vaccine,Phase I Clinical Trial of Recombinant Adenovirus Type 5 Therapeutic AIDS Vaccine Expressing Gag,Unknown status,Recruiting,Phase 1,36.0,Anticipated,"Centers for Disease Control and Prevention, China",,3.0,,,False,,,,False,,,,,,,,,,,Undecided,,2023-06-16 08:26:17,2023-06-16 08:26:17,OTHER_GOV,,,,,
114198,114199,NCT05414786,,2022-05-26,,,2023-03-08,2022-06-08,2022-06-10,Actual,,,,,,,2023-03-08,2023-03-10,Actual,"May 25, 2022",Actual,2022-05-25,March 2023,2023-03-31,"June 30, 2023",Anticipated,2023-06-30,"June 30, 2023",Anticipated,2023-06-30,,Interventional,,,A Study to Evaluate the Safety and Immunogenicity of eOD-GT8 60mer mRNA Vaccine (mRNA-1644),A Phase 1 Study to Evaluate the Safety and Immunogenicity of eOD-GT8 60mer mRNA Vaccine (mRNA-1644) in HIV-1 Uninfected Adults in Good General Health,"Active, not recruiting",,Phase 1,18.0,Actual,International AIDS Vaccine Initiative,,1.0,,,False,,,,True,True,False,,,,,,Information will be shared as soon as results are publicly available for the investigational product being used in similar studies conducted in other regions. The existing results and data upon which the G003 study is based is yet to be made fully publicly available.,"Access to data will be determined by the study team, partners and funding agencies.",http://www.iavi.org/newsresources/press-releases/2021/first-in-human-clinicaltrial-confirms-novel-hivvaccine-approachdeveloped-by-iavi-andscripps-research,Yes,"This will be done with the clinical trial team, collaborators and funding agencies. Also, as information becomes available, this will be shared with the site and study participants. Results dissemination plans will be developed and implemented as the study progresses.",2023-06-17 11:22:23,2023-06-17 11:22:23,NETWORK,,,,,
114481,114482,NCT02717494,,2016-03-18,2019-11-06,,2019-12-31,2016-03-22,2016-03-23,Estimate,2019-12-31,2020-01-18,Actual,,,,2019-12-31,2020-01-18,Actual,March 2016,,2016-03-31,December 2019,2019-12-31,May 2019,Actual,2019-05-31,November 2018,Actual,2018-11-30,,Interventional,,Mother participants who received study treatment in Step 1 were included.,Safety and Immunogenicity of Anti-Pneumococcal Vaccines in HIV-Infected Pregnant Women,Safety and Immunogenicity of Anti-Pneumococcal Vaccines in HIV-Infected Pregnant Women,Completed,,Phase 2,347.0,Actual,Westat,,6.0,,,False,,,,True,,,,,,,,,,,,,2023-06-17 11:25:12,2023-06-17 11:25:12,OTHER,,,,,
114533,114534,NCT05772286,,2023-02-15,,,2023-03-15,2023-03-15,2023-03-16,Actual,,,,,,,2023-03-15,2023-03-16,Actual,March 2023,Anticipated,2023-03-31,February 2023,2023-02-28,June 2025,Anticipated,2025-06-30,June 2025,Anticipated,2025-06-30,,Interventional,HIVAC-FOUND,,"Clinical Trial to Evaluate the Safety and Immunogenicity of Recombinant HIV-1 Envelope Protein SOSIP v8.2 763 Vaccine, Adjuvanted With MPLA Liposomes, in Healthy, HIV-Uninfected Adults","A Phase 1 Clinical Trial to Evaluate the Safety and Immunogenicity of Recombinant HIV-1 Envelope Protein SOSIP v8.2 763 Vaccine, Adjuvanted With MPLA Liposomes, in Healthy, HIV-Uninfected Adults",Not yet recruiting,,Phase 1,12.0,Anticipated,Fundacion Clinic per a la Recerca Biomédica,,1.0,,,False,,,,True,False,False,,,,,,,,,,,2023-06-15 06:16:59,2023-06-15 06:16:59,OTHER,,,,,
114616,114617,NCT02575456,,2015-10-11,,,2016-08-30,2015-10-13,2015-10-14,Estimate,,,,,,,2016-08-30,2016-09-01,Estimate,October 2015,,2015-10-31,December 2015,2015-12-31,July 2016,Actual,2016-07-31,June 2016,Actual,2016-06-30,,Interventional,,,A Clinical Trial to Evaluate the Recombinant Human Type5 Adenovirus Vector Based Ebola Virus Disease Vaccine,"A Single-Center, Randomized, Blind, Phase II Clinical Trial to Evaluate the Safety and Immunogenicity of the Adenovirus Type 5 Vector Based Ebola Virus Disease Vaccine (Ad5-EBOV) in Healthy Adults in Sierra Leone",Completed,,Phase 2,500.0,Actual,Jiangsu Province Centers for Disease Control and Prevention,,3.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 08:28:03,2023-06-16 08:28:03,NETWORK,,,,,
114633,114634,NCT00005780,,2000-06-03,2022-11-02,,2023-01-04,2000-06-03,2000-06-05,Estimate,2023-01-04,2023-01-31,Actual,,,,2023-01-04,2023-01-31,Actual,"June 1, 2000",Actual,2000-06-01,January 2023,2023-01-31,"June 16, 2021",Actual,2021-06-16,"June 9, 2021",Actual,2021-06-09,,Interventional,,,Chemotherapy Plus Vaccination to Treat Mantle Cell Lymphoma,Pilot Study of Idiotype Vaccine and EPOCH-Rituximab Chemotherapy in Untreated Mantle Cell Lymphoma,Completed,,Phase 2,26.0,Actual,National Institutes of Health Clinical Center (CC),,1.0,,,False,,,,False,True,False,,,,,,,,,No,,2023-06-17 11:26:49,2023-06-17 11:26:49,NIH,,,,,
115016,115017,NCT00972725,,2009-09-03,2016-11-28,2010-12-23,2018-07-11,2009-09-03,2009-09-07,Estimate,2017-03-02,2017-04-13,Actual,2010-12-23,2010-12-30,Estimate,2018-07-11,2018-08-17,Actual,"December 1, 2009",,2009-12-01,March 2017,2017-03-31,"October 4, 2010",Actual,2010-10-04,"October 4, 2010",Actual,2010-10-04,,Interventional,,,Evaluation of the Immune Response of a HIV Candidate Vaccine After Administration of One Chloroquine Dose,A Study to Evaluate the Safety and Immunogenicity of a Booster Dose of GSK Biologicals' HIV Candidate Vaccine (732461) After Administration of Chloroquine in Healthy Adults.,Completed,,Phase 2,28.0,Actual,GlaxoSmithKline,,2.0,,,False,,,,,,,,,,,,,,,,,2023-06-14 02:56:56,2023-06-14 02:56:56,INDUSTRY,,,,,
115100,115101,NCT05771584,,2022-09-06,,,2023-03-14,2023-03-14,2023-03-16,Actual,,,,,,,2023-03-14,2023-03-16,Actual,"June 15, 2023",Anticipated,2023-06-15,March 2023,2023-03-31,"June 15, 2026",Anticipated,2026-06-15,"October 15, 2023",Anticipated,2023-10-15,,Interventional,Conerstone3,,"Therapeutic Cancer Vaccine (AST-301, pNGVL3-hICD) in Gastric Cancer","A Phase 2 Study to Evaluate the Safety and Immunological Efficacy of Therapeutic Cancer Vaccine (AST-301, pNGVL3-hICD) in Patients With HER2 Expressing Gastric Cancer (CORNERSTONE-003)",Not yet recruiting,,Phase 2,24.0,Anticipated,Aston Sci. Inc.,,2.0,,,False,,,,True,True,False,,,True,,,,,,No,,2023-06-15 06:17:24,2023-06-15 06:17:24,INDUSTRY,,,,,
116299,116300,NCT02454634,,2015-05-12,,,2018-11-06,2015-05-26,2015-05-27,Estimate,,,,,,,2018-11-06,2018-11-07,Actual,June 2015,Actual,2015-06-30,September 2017,2017-09-30,"September 19, 2017",Actual,2017-09-19,"September 19, 2017",Actual,2017-09-19,,Interventional,NOA-16,,Phase I Trial of IDH1 Peptide Vaccine in IDH1R132H-mutated Grade III-IV Gliomas,"Targeting IDH1R132H in WHO Grade III-IV IDH1R132H-mutated Gliomas by a Peptide Vaccine - a Phase I Safety, Tolerability and Immunogenicity Multicenter Trial (NOA-16)",Completed,,Phase 1,39.0,Actual,"National Center for Tumor Diseases, Heidelberg",,1.0,,,False,,,,True,,,,,,,,,,,,,2023-06-17 11:45:59,2023-06-17 11:45:59,OTHER,,,,,
116848,116849,NCT00709462,,2008-07-01,,,2010-07-23,2008-07-01,2008-07-03,Estimate,,,,,,,2010-07-23,2010-07-26,Estimate,March 2004,,2004-03-31,July 2010,2010-07-31,June 2010,Actual,2010-06-30,May 2010,Actual,2010-05-31,,Interventional,,,"A Study of CDX-1307, in Patients With Incurable Breast, Colorectal, Pancreatic, Ovarian or Bladder Cancer (CDX 1307-01)","A Phase I, Open-Label, Dose-Escalation, Multidose Study of CDX-1307, a Mannose Receptor-Targeted hCG-ß Vaccine, in Patients With Incurable Breast, Colorectal, Pancreatic, Ovarian or Bladder Cancer (CDX-1307-01)",Completed,,Phase 1,48.0,Anticipated,Celldex Therapeutics,,,,,False,,,,False,,,,,,,,,,,,,2023-06-16 08:31:32,2023-06-16 08:31:32,INDUSTRY,,,,,
117358,117359,NCT04794218,,2021-03-03,,,2023-03-08,2021-03-09,2021-03-11,Actual,,,,,,,2023-03-08,2023-03-09,Actual,"June 23, 2021",Actual,2021-06-23,March 2023,2023-03-31,January 2024,Anticipated,2024-01-31,December 2023,Anticipated,2023-12-31,,Interventional,,,A Clinical Trial to Evaluate the Safety and Immunogenicity of rVSV<U+2206>G-LASV-GPC Vaccine in Adults in Good General Heath,"A Phase 1 Randomized, Double-blinded, Placebo-controlled, Dose-escalation Clinical Trial to Evaluate the Safety and Immunogenicity of rVSV<U+2206>G-LASV-GPC Vaccine in Adults in Good General Heath","Active, not recruiting",,Phase 1,110.0,Anticipated,International AIDS Vaccine Initiative,,8.0,,,False,,,,,True,False,,,,,,,,,Undecided,,2023-06-17 11:59:12,2023-06-17 11:59:12,NETWORK,,,,,
117466,117467,NCT02434276,,2015-04-16,,,2015-06-25,2015-05-04,2015-05-05,Estimate,,,,,,,2015-06-25,2015-06-26,Estimate,May 2015,,2015-05-31,June 2015,2015-06-30,June 2016,Anticipated,2016-06-30,August 2015,Anticipated,2015-08-31,,Interventional,,,Study of the Immunogenicity and Safety of a Quadrivalent Influenza Vaccine (VAX2012Q) in Adults 18-64 Years,"A Phase II, Multicenter, Randomized, Double-Blind, Active Comparator Controlled Study of the Immunogenicity and Safety of VAX2012Q, A Quadrivalent Influenza Vaccine in Healthy Adults 18-64 Years",Unknown status,"Active, not recruiting",Phase 2,450.0,Anticipated,VaxInnate Corporation,,3.0,,,False,,,,True,,,,,,,,,,,,,2023-06-17 12:01:11,2023-06-17 12:01:11,INDUSTRY,,,,,
117492,117493,NCT04067011,,2019-07-15,2021-05-14,,2023-02-01,2019-08-21,2019-08-26,Actual,2021-06-10,2021-06-30,Actual,,,,2023-02-01,2023-02-03,Actual,"August 12, 2019",Actual,2019-08-12,February 2023,2023-02-28,"March 19, 2020",Actual,2020-03-19,"March 5, 2020",Actual,2020-03-05,,Interventional,,Intent to treat population: all subjects who were randomized.,Velocity 2: An Anthrax Vaccine and Antibiotics Clinical Study,A Phase 2 Drug-Vaccine Interaction Study to Examine Whether Co-administering AV7909 With Ciprofloxacin or Doxycycline Affects Antibiotic Pharmacokinetics or AV7909 Immunogenicity in Healthy Adults,Completed,,Phase 2,210.0,Actual,Emergent BioSolutions,,3.0,,,False,,,,True,True,False,,,,,,,,,,,2023-06-16 08:32:47,2023-06-16 08:32:47,INDUSTRY,,,,,
117615,117616,NCT02433652,,2015-04-27,,,2018-02-27,2015-04-29,2015-05-05,Estimate,,,,,,,2018-02-27,2018-02-28,Actual,September 2015,,2015-09-30,February 2018,2018-02-28,,,,November 2016,Actual,2016-11-30,,Interventional,,,Evaluating the Safety and Protective Efficacy of a Single Dose of a Trivalent Live Attenuated Dengue Vaccine to Protect Against Infection With DENV-2,A Phase 1 Evaluation of the Safety and Protective Efficacy of a Single Dose of a Trivalent Live Attenuated Dengue Vaccine to Protect Against Infection With DENV-2,Completed,,Phase 1,24.0,Anticipated,National Institute of Allergy and Infectious Diseases (NIAID),,2.0,,,False,,,,True,,,,,,,,,,,,,2023-06-17 12:02:34,2023-06-17 12:02:34,NIH,,,,,
117710,117711,NCT03795441,,2019-01-04,,,2019-08-29,2019-01-04,2019-01-07,Actual,,,,,,,2019-08-29,2019-08-30,Actual,"January 7, 2019",Actual,2019-01-07,August 2019,2019-08-31,"July 28, 2019",Actual,2019-07-28,"July 28, 2019",Actual,2019-07-28,,Interventional,,,A Shedding Study of Adenovirus Serotype 26 Based Respiratory Syncytial Virus Pre-fusion F Protein (Ad26.RSV.preF) Vaccine in Adults,"Open Label, Single Arm Phase 1 Study to Evaluate the Shedding, Biodistribution, Safety and Immunogenicity of Ad26.RSV.preF Vaccine in Adults",Completed,,Phase 1,24.0,Actual,Janssen Vaccines & Prevention B.V.,,1.0,,,False,,,,False,True,False,,,True,,,,,https://www.janssen.com/clinical-trials/transparency,Yes,"The data sharing policy of the Janssen Pharmaceutical Companies of Johnson & Johnson is available at www.janssen.com/clinical-trials/transparency.

As noted on this site, requests for access to the study data can be submitted through Yale Open Data Access (YODA) Project site at yoda.yale.edu",2023-06-17 03:44:56,2023-06-17 03:44:56,INDUSTRY,,,,,
